SKU,Category,Size,Units in stock,Units sold (last 7/30/60 days),Days of inventory left,Dead stock flag,date
SKU-SHI-0001,shirts,S,36,12/12/12,90.0,N,2022-01-02
SKU-PAN-0002,pants,XL,37,9/9/9,123.3,N,2022-01-02
SKU-SHI-0003,shirts,XXL,61,7/7/7,261.4,N,2022-01-02
SKU-TSH-0004,tshirts,XXL,118,2/2/2,999.0,N,2022-01-02
SKU-CRO-0005,croptops,S,53,3/3/3,530.0,N,2022-01-02
SKU-SHI-0006,shirts,XL,92,3/3/3,920.0,N,2022-01-02
SKU-CRO-0007,croptops,XS,100,1/1/1,999.0,N,2022-01-02
SKU-PAN-0008,pants,XL,132,3/3/3,999.0,N,2022-01-02
SKU-PAN-0009,pants,XS,95,2/2/2,999.0,N,2022-01-02
SKU-TSH-0010,tshirts,L,84,2/2/2,999.0,N,2022-01-02
SKU-SHO-0011,shorts,XXL,122,0/0/0,999.0,Y,2022-01-02
SKU-TSH-0012,tshirts,L,58,0/0/0,999.0,Y,2022-01-02
SKU-SHI-0013,shirts,XS,90,0/0/0,999.0,Y,2022-01-02
SKU-CRO-0014,croptops,M,53,1/1/1,999.0,N,2022-01-02
SKU-SHI-0015,shirts,XL,140,0/0/0,999.0,Y,2022-01-02
SKU-PAN-0016,pants,XS,127,0/0/0,999.0,Y,2022-01-02
SKU-SHI-0017,shirts,S,82,0/0/0,999.0,Y,2022-01-02
SKU-PAN-0018,pants,XXL,121,0/0/0,999.0,Y,2022-01-02
SKU-CRO-0019,croptops,XXL,60,1/1/1,999.0,N,2022-01-02
SKU-PAN-0020,pants,XL,90,1/1/1,999.0,N,2022-01-02
SKU-PAN-0021,pants,XL,85,0/0/0,999.0,Y,2022-01-02
SKU-PAN-0022,pants,XXL,106,0/0/0,999.0,Y,2022-01-02
SKU-SHO-0023,shorts,XL,128,0/0/0,999.0,Y,2022-01-02
SKU-SHI-0024,shirts,XXL,63,0/0/0,999.0,Y,2022-01-02
SKU-JAC-0025,jackets,XXL,94,1/1/1,999.0,N,2022-01-02
SKU-PAN-0026,pants,XXL,87,0/0/0,999.0,Y,2022-01-02
SKU-JAC-0027,jackets,S,49,0/0/0,999.0,Y,2022-01-02
SKU-PAN-0028,pants,XS,107,0/0/0,999.0,Y,2022-01-02
SKU-TSH-0029,tshirts,L,97,0/0/0,999.0,Y,2022-01-02
SKU-CRO-0030,croptops,M,62,0/0/0,999.0,Y,2022-01-02
SKU-JAC-0031,jackets,XL,49,0/0/0,999.0,Y,2022-01-02
SKU-TSH-0032,tshirts,S,96,1/1/1,999.0,N,2022-01-02
SKU-SHO-0033,shorts,M,120,0/0/0,999.0,Y,2022-01-02
SKU-PAN-0034,pants,XS,65,1/1/1,999.0,N,2022-01-02
SKU-CRO-0035,croptops,L,53,0/0/0,999.0,Y,2022-01-02
SKU-SHI-0036,shirts,XL,129,1/1/1,999.0,N,2022-01-02
