Order ID,SKU ID,"Category (top, bottom, outerwear, etc.)",Size,Color,MRP,Selling price,Discount %,Returned? (Y/N),Return reason (if any)
ORD-20220101-000001,SKU-PAN-0002,pants,XL,Maroon,2699,1814,32.8,N,
ORD-20220101-000002,SKU-SHI-0001,shirts,XXL,Maroon,1999,1812,9.4,N,
ORD-20220101-000003,SKU-CRO-0019,croptops,L,Olive,1799,2210,0.0,N,
ORD-20220101-000004,SKU-SHI-0003,shirts,L,Black,2799,1395,50.0,Y,RTO
ORD-20220101-000005,SKU-SHI-0045,shirts,XS,Maroon,2299,999,50.0,N,
ORD-20220101-000005,SKU-SHI-0036,shirts,XS,Navy,2299,999,50.0,N,
ORD-20220101-000006,SKU-PAN-0002,pants,M,Olive,2699,999,50.0,N,
ORD-20220101-000006,SKU-SHI-0001,shirts,XL,Maroon,1999,999,50.0,N,
ORD-20220101-000007,SKU-PAN-0009,pants,S,Maroon,2799,1530,45.3,N,
ORD-20220101-000008,SKU-SHI-0001,shirts,XL,Black,1999,1872,6.4,N,
ORD-20220101-000009,SKU-CRO-0048,croptops,XS,Beige,1799,1350,25.0,N,
ORD-20220101-000010,SKU-TSH-0032,tshirts,S,Olive,1499,999,33.4,Y,Changed mind
ORD-20220101-000010,SKU-CRO-0005,croptops,L,Beige,2399,1301,45.8,Y,Quality concern
ORD-20220101-000011,SKU-PAN-0002,pants,XL,Black,2699,1913,29.1,N,
ORD-20220101-000012,SKU-PAN-0008,pants,XXL,Beige,2999,1889,37.0,N,
ORD-20220101-000013,SKU-PAN-0020,pants,XL,Olive,2999,1583,47.2,Y,RTO
ORD-20220101-000014,SKU-CRO-0005,croptops,S,Grey,2399,1715,28.5,Y,Quality concern
ORD-20220101-000015,SKU-PAN-0009,pants,XL,Olive,2799,1531,45.3,N,
ORD-20220101-000016,SKU-PAN-0002,pants,M,Black,2699,999,50.0,N,
ORD-20220101-000016,SKU-SHI-0001,shirts,L,Beige,1999,999,50.0,N,
ORD-20220101-000017,SKU-PAN-0002,pants,XS,Black,2699,2114,21.7,Y,Different than images
ORD-20220101-000018,SKU-CRO-0048,croptops,M,White,1799,999,44.5,N,
ORD-20220101-000018,SKU-CRO-0014,croptops,M,Black,1799,999,44.5,N,
ORD-20220101-000019,SKU-PAN-0008,pants,L,Black,2999,1005,50.0,N,
ORD-20220101-000019,SKU-SHI-0001,shirts,XL,Blue,1999,999,50.0,N,
ORD-20220101-000020,SKU-PAN-0002,pants,XXL,Black,2699,1895,29.8,N,
ORD-20220101-000021,SKU-TSH-0004,tshirts,M,Navy,1499,999,33.4,Y,RTO
ORD-20220101-000021,SKU-PAN-0002,pants,S,Olive,2699,999,50.0,Y,RTO
ORD-20220101-000022,SKU-CRO-0007,croptops,L,Blue,1899,1717,9.6,Y,Fit not as expected
ORD-20220101-000023,SKU-SHI-0001,shirts,L,White,1999,1742,12.9,Y,Size issue
ORD-20220101-000024,SKU-SHI-0006,shirts,XXL,Navy,2799,999,50.0,N,
ORD-20220101-000024,SKU-TSH-0010,tshirts,XXL,Maroon,1799,999,44.5,N,
ORD-20220101-000024,SKU-PAN-0034,pants,S,Navy,2999,999,50.0,N,
ORD-20220101-000025,SKU-PAN-0002,pants,M,Blue,2699,2031,24.7,N,
ORD-20220101-000026,SKU-SHI-0006,shirts,XL,Maroon,2799,999,50.0,Y,Size issue
ORD-20220101-000026,SKU-SHI-0003,shirts,XL,Beige,2799,999,50.0,Y,Size issue
ORD-20220102-000027,SKU-SHI-0001,shirts,XS,Black,1999,1814,9.3,N,
ORD-20220102-000028,SKU-TSH-0010,tshirts,XL,Black,1799,999,44.5,N,
ORD-20220102-000028,SKU-SHI-0001,shirts,XL,Beige,1999,1049,47.5,N,
ORD-20220102-000029,SKU-SHI-0003,shirts,L,Maroon,2799,999,50.0,Y,RTO
ORD-20220102-000029,SKU-SHI-0001,shirts,XL,Olive,1999,999,50.0,Y,RTO
ORD-20220102-000029,SKU-SHO-0039,shorts,S,White,2299,999,50.0,Y,RTO
ORD-20220102-000030,SKU-CRO-0005,croptops,XXL,White,2399,999,50.0,N,
ORD-20220102-000030,SKU-SHI-0006,shirts,S,Maroon,2799,999,50.0,N,
ORD-20220102-000031,SKU-PAN-0008,pants,L,Beige,2999,1064,50.0,Y,RTO
ORD-20220102-000031,SKU-SHI-0003,shirts,S,Maroon,2799,1041,50.0,Y,RTO
ORD-20220102-000032,SKU-SHI-0001,shirts,M,Black,1999,1649,17.5,N,
ORD-20220102-000033,SKU-SHI-0003,shirts,L,Blue,2799,1874,33.0,N,
ORD-20220102-000034,SKU-SHI-0001,shirts,XXL,Maroon,1999,1495,25.2,N,
ORD-20220102-000035,SKU-SHI-0001,shirts,S,White,1999,1923,3.8,Y,RTO
ORD-20220102-000036,SKU-TSH-0004,tshirts,XL,Blue,1499,1942,0.0,Y,Different than images
ORD-20220102-000037,SKU-PAN-0002,pants,S,White,2699,1929,28.5,N,
ORD-20220102-000038,SKU-JAC-0025,jackets,XS,Black,4499,1503,50.0,N,
ORD-20220102-000039,SKU-SHI-0003,shirts,XL,Olive,2799,999,50.0,N,
ORD-20220102-000039,SKU-SHI-0003,shirts,XS,Blue,2799,999,50.0,N,
ORD-20220103-000040,SKU-PAN-0002,pants,XL,Grey,2699,999,50.0,N,
ORD-20220103-000040,SKU-SHI-0001,shirts,XXL,Beige,1999,999,50.0,N,
ORD-20220103-000041,SKU-PAN-0002,pants,XXL,Navy,2699,1575,41.6,N,
ORD-20220103-000042,SKU-CRO-0005,croptops,XS,Olive,2399,1799,25.0,N,
ORD-20220103-000043,SKU-PAN-0002,pants,XXL,Black,2699,1477,45.3,N,
