SKU,Vendor,Order quantity,Cost per unit,Order date,Expected delivery,Actual delivery,Lead time
SKU-SHI-0001,UrbanWeave Co.,93,705,2022-01-09,2022-03-02,2022-03-07,57
SKU-PAN-0002,Apex Fashions,87,982,2022-01-16,2022-03-10,2022-03-10,53
SKU-SHI-0003,KnitCraft Studio,93,1004,2022-01-23,2022-03-01,2022-03-03,39
SKU-SHI-0001,UrbanWeave Co.,351,705,2022-02-06,2022-04-01,2022-04-06,59
SKU-PAN-0002,Apex Fashions,136,982,2022-02-13,2022-03-19,2022-03-22,37
SKU-SHI-0003,KnitCraft Studio,109,1004,2022-02-20,2022-04-13,2022-04-15,54
SKU-SHI-0001,UrbanWeave Co.,262,705,2022-03-06,2022-04-18,2022-04-21,46
SKU-CRO-0005,StitchWorks India,48,846,2022-03-06,2022-04-11,2022-04-14,39
SKU-PAN-0002,Apex Fashions,98,982,2022-03-13,2022-04-30,2022-05-03,51
SKU-SHI-0003,KnitCraft Studio,106,1004,2022-03-20,2022-05-07,2022-05-10,51
SKU-TSH-0004,StitchWorks India,100,539,2022-03-27,2022-05-10,2022-05-11,45
SKU-SHI-0001,UrbanWeave Co.,314,705,2022-04-03,2022-05-08,2022-05-13,40
SKU-CRO-0005,StitchWorks India,50,846,2022-04-03,2022-05-27,2022-05-30,57
SKU-PAN-0002,Apex Fashions,167,982,2022-04-10,2022-05-29,2022-05-29,49
SKU-SHI-0003,KnitCraft Studio,144,1004,2022-04-17,2022-06-08,2022-06-08,52
SKU-TSH-0004,StitchWorks India,116,539,2022-04-24,2022-06-11,2022-06-12,49
SKU-SHI-0006,KnitCraft Studio,82,1097,2022-04-24,2022-06-14,2022-06-16,53
SKU-SHI-0001,UrbanWeave Co.,360,705,2022-05-01,2022-06-19,2022-06-21,51
SKU-CRO-0005,StitchWorks India,92,846,2022-05-01,2022-06-15,2022-06-15,45
SKU-PAN-0002,Apex Fashions,166,982,2022-05-08,2022-06-20,2022-06-23,46
SKU-TSH-0012,UrbanWeave Co.,68,715,2022-05-08,2022-06-24,2022-06-26,49
SKU-SHI-0003,KnitCraft Studio,81,1004,2022-05-15,2022-06-12,2022-06-12,28
SKU-TSH-0004,StitchWorks India,72,539,2022-05-22,2022-07-10,2022-07-10,49
SKU-SHI-0006,KnitCraft Studio,75,1097,2022-05-22,2022-07-06,2022-07-11,50
SKU-TSH-0010,WestCo Garments,80,782,2022-05-22,2022-07-01,2022-07-04,43
SKU-SHI-0001,UrbanWeave Co.,280,705,2022-05-29,2022-07-11,2022-07-11,43
SKU-CRO-0005,StitchWorks India,45,846,2022-05-29,2022-07-12,2022-07-14,46
SKU-CRO-0014,Apex Fashions,58,756,2022-05-29,2022-07-20,2022-07-25,57
SKU-PAN-0002,Apex Fashions,140,982,2022-06-05,2022-07-14,2022-07-16,41
SKU-CRO-0007,Apex Fashions,59,818,2022-06-05,2022-07-16,2022-07-17,42
SKU-TSH-0012,UrbanWeave Co.,40,715,2022-06-05,2022-07-18,2022-07-19,44
SKU-SHI-0003,KnitCraft Studio,141,1004,2022-06-12,2022-07-30,2022-08-04,53
SKU-TSH-0004,StitchWorks India,40,539,2022-06-19,2022-07-28,2022-07-28,39
SKU-SHI-0006,KnitCraft Studio,54,1097,2022-06-19,2022-08-02,2022-08-05,47
SKU-TSH-0010,WestCo Garments,54,782,2022-06-19,2022-07-26,2022-07-28,39
SKU-SHI-0001,UrbanWeave Co.,223,705,2022-06-26,2022-07-27,2022-07-29,33
SKU-CRO-0005,StitchWorks India,59,846,2022-06-26,2022-08-20,2022-08-20,55
SKU-CRO-0014,Apex Fashions,46,756,2022-06-26,2022-07-24,2022-07-29,33
SKU-PAN-0002,Apex Fashions,120,982,2022-07-03,2022-08-05,2022-08-10,38
SKU-CRO-0007,Apex Fashions,74,818,2022-07-03,2022-08-28,2022-08-29,57
SKU-TSH-0012,UrbanWeave Co.,40,715,2022-07-03,2022-08-15,2022-08-17,45
SKU-SHI-0003,KnitCraft Studio,76,1004,2022-07-10,2022-08-13,2022-08-15,36
SKU-TSH-0004,StitchWorks India,52,539,2022-07-17,2022-08-22,2022-08-27,41
SKU-SHI-0006,KnitCraft Studio,44,1097,2022-07-17,2022-08-18,2022-08-19,33
SKU-PAN-0009,KnitCraft Studio,40,1008,2022-07-17,2022-09-09,2022-09-09,54
SKU-TSH-0010,WestCo Garments,64,782,2022-07-17,2022-08-14,2022-08-19,33
SKU-SHI-0001,UrbanWeave Co.,256,705,2022-07-24,2022-08-30,2022-09-04,42
SKU-CRO-0005,StitchWorks India,75,846,2022-07-24,2022-09-03,2022-09-08,46
SKU-CRO-0014,Apex Fashions,78,756,2022-07-24,2022-08-28,2022-08-30,37
SKU-PAN-0002,Apex Fashions,125,982,2022-07-31,2022-09-24,2022-09-26,57
SKU-CRO-0007,Apex Fashions,80,818,2022-07-31,2022-09-19,2022-09-19,50
SKU-TSH-0012,UrbanWeave Co.,70,715,2022-07-31,2022-09-24,2022-09-27,58
SKU-SHI-0003,KnitCraft Studio,112,1004,2022-08-07,2022-09-13,2022-09-18,42
SKU-TSH-0004,StitchWorks India,112,539,2022-08-14,2022-10-03,2022-10-08,55
SKU-SHI-0006,KnitCraft Studio,77,1097,2022-08-14,2022-09-19,2022-09-21,38
SKU-PAN-0008,StitchWorks India,67,1152,2022-08-14,2022-09-17,2022-09-20,37
SKU-PAN-0009,KnitCraft Studio,40,1008,2022-08-14,2022-09-12,2022-09-12,29
SKU-TSH-0010,WestCo Garments,40,782,2022-08-14,2022-10-02,2022-10-04,51
