date,traffic_source,campaign_name,device_category,sessions,product_views,add_to_cart,begin_checkout,purchases,revenue,conversion_rate,aov,country,city,purchased
2022-01-01,Meta,KS_AlwaysOn,mobile,83,394,6,3,6,10002.82,0.0723,1667.14,India,Pune,1
2022-01-01,Meta,KS_AlwaysOn,desktop,45,124,2,1,6,10159.17,0.1333,1693.2,India,Mumbai,1
2022-01-01,Meta,KS_AlwaysOn,tablet,4,16,0,0,0,0.0,0.0,0.0,India,Bengaluru,0
2022-01-01,Google,,mobile,40,110,2,1,1,1768.7,0.025,1768.7,India,Ahmedabad,1
2022-01-01,Google,,desktop,19,54,0,0,3,5194.3,0.1579,1731.43,India,Jaipur,1
2022-01-01,Google,,tablet,0,0,0,0,0,0.0,0.0,0.0,India,Bengaluru,0
2022-01-01,Influencer,,mobile,27,89,0,0,2,3544.73,0.0741,1772.36,India,Surat,1
2022-01-01,Influencer,,desktop,12,30,0,0,2,3685.27,0.1667,1842.64,India,Ahmedabad,1
2022-01-01,Influencer,,tablet,3,9,0,0,0,0.0,0.0,0.0,India,Bengaluru,0
2022-01-01,Organic Instagram,,mobile,17,61,1,0,3,6083.59,0.1765,2027.86,India,Delhi,1
2022-01-01,Organic Instagram,,desktop,9,28,0,0,1,1979.41,0.1111,1979.41,India,Surat,1
2022-01-01,Organic Instagram,,tablet,2,8,0,0,0,0.0,0.0,0.0,India,Delhi,0
2022-01-01,Email/SMS,,mobile,15,49,1,0,1,1714.07,0.0667,1714.07,India,Hyderabad,1
2022-01-01,Email/SMS,,desktop,4,12,0,0,1,1903.93,0.25,1903.93,India,Lucknow,1
2022-01-01,Email/SMS,,tablet,3,12,0,0,0,0.0,0.0,0.0,India,Delhi,0
2022-01-02,Meta,KS_AlwaysOn,mobile,105,521,7,3,4,7190.56,0.0381,1797.64,India,Pune,1
2022-01-02,Meta,KS_AlwaysOn,desktop,33,135,1,0,2,3156.44,0.0606,1578.22,India,Hyderabad,1
2022-01-02,Meta,KS_AlwaysOn,tablet,9,20,0,0,0,0.0,0.0,0.0,India,Indore,0
2022-01-02,Google,,mobile,38,157,2,1,3,5842.0,0.0789,1947.33,India,Hyderabad,1
2022-01-02,Google,,desktop,8,22,0,0,0,0.0,0.0,0.0,India,Jaipur,0
2022-01-02,Google,,tablet,1,4,0,0,0,0.0,0.0,0.0,India,Indore,0
2022-01-02,Influencer,,mobile,28,56,2,1,0,0.0,0.0,0.0,India,Hyderabad,0
2022-01-02,Influencer,,desktop,19,68,1,0,2,3445.0,0.1053,1722.5,India,Indore,1
2022-01-02,Influencer,,tablet,2,7,0,0,0,0.0,0.0,0.0,India,Ahmedabad,0
2022-01-02,Organic Instagram,,mobile,17,51,1,0,2,3648.0,0.1176,1824.0,India,Jaipur,1
2022-01-02,Organic Instagram,,desktop,5,12,0,0,0,0.0,0.0,0.0,India,Hyderabad,0
2022-01-02,Organic Instagram,,tablet,0,0,0,0,0,0.0,0.0,0.0,India,Indore,0
2022-01-02,Email/SMS,,mobile,17,50,1,0,0,0.0,0.0,0.0,India,Pune,0
2022-01-02,Email/SMS,,desktop,4,15,0,0,0,0.0,0.0,0.0,India,Indore,0
2022-01-02,Email/SMS,,tablet,1,3,0,0,0,0.0,0.0,0.0,India,Jaipur,0
2022-01-03,Meta,KS_AlwaysOn,mobile,96,312,8,4,3,5380.45,0.0312,1793.48,India,Bengaluru,1
2022-01-03,Meta,KS_AlwaysOn,desktop,39,121,2,1,4,6974.22,0.1026,1743.56,India,Ahmedabad,1
2022-01-03,Meta,KS_AlwaysOn,tablet,4,10,0,0,1,1847.33,0.25,1847.33,India,Delhi,1
2022-01-03,Google,,mobile,34,116,1,0,1,1607.55,0.0294,1607.55,India,Ahmedabad,1
2022-01-03,Google,,desktop,18,54,0,0,2,2969.45,0.1111,1484.73,India,Mumbai,1
2022-01-03,Google,,tablet,2,8,0,0,0,0.0,0.0,0.0,India,Indore,0
2022-01-03,Influencer,,mobile,27,73,1,0,1,1740.62,0.037,1740.62,India,Pune,1
2022-01-03,Influencer,,desktop,13,39,1,0,1,1838.13,0.0769,1838.13,India,Indore,1
2022-01-03,Influencer,,tablet,8,38,0,0,1,1780.25,0.125,1780.25,India,Delhi,1
2022-01-03,Organic Instagram,,mobile,28,82,1,0,4,7634.0,0.1429,1908.5,India,Pune,1
2022-01-03,Organic Instagram,,desktop,3,6,0,0,0,0.0,0.0,0.0,India,Delhi,0
2022-01-03,Organic Instagram,,tablet,1,2,0,0,0,0.0,0.0,0.0,India,Indore,0
2022-01-03,Email/SMS,,mobile,16,65,1,0,0,0.0,0.0,0.0,India,Pune,0
2022-01-03,Email/SMS,,desktop,6,17,0,0,0,0.0,0.0,0.0,India,Lucknow,0
2022-01-03,Email/SMS,,tablet,1,3,0,0,0,0.0,0.0,0.0,India,Surat,0
2022-01-04,Meta,KS_AlwaysOn,mobile,100,364,7,3,1,1881.41,0.01,1881.41,India,Ahmedabad,1
2022-01-04,Meta,KS_AlwaysOn,desktop,38,137,3,1,0,0.0,0.0,0.0,India,Hyderabad,0
2022-01-04,Meta,KS_AlwaysOn,tablet,5,16,0,0,1,2123.59,0.2,2123.59,India,Delhi,1
2022-01-04,Google,,mobile,43,110,3,1,0,0.0,0.0,0.0,India,Mumbai,0
2022-01-04,Google,,desktop,15,35,0,0,0,0.0,0.0,0.0,India,Lucknow,0
2022-01-04,Google,,tablet,5,17,0,0,0,0.0,0.0,0.0,India,Mumbai,0
2022-01-04,Influencer,,mobile,28,80,2,0,0,0.0,0.0,0.0,India,Jaipur,0
2022-01-04,Influencer,,desktop,15,53,0,0,2,4446.0,0.1333,2223.0,India,Ahmedabad,1
2022-01-04,Influencer,,tablet,2,4,0,0,0,0.0,0.0,0.0,India,Hyderabad,0
2022-01-04,Organic Instagram,,mobile,17,37,1,0,3,5979.0,0.1765,1993.0,India,Surat,1
2022-01-04,Organic Instagram,,desktop,4,13,0,0,0,0.0,0.0,0.0,India,Bengaluru,0
2022-01-04,Organic Instagram,,tablet,0,0,0,0,0,0.0,0.0,0.0,India,Jaipur,0
2022-01-04,Email/SMS,,mobile,11,32,0,0,1,1661.13,0.0909,1661.13,India,Ahmedabad,1
2022-01-04,Email/SMS,,desktop,4,8,0,0,1,1751.87,0.25,1751.87,India,Indore,1
2022-01-04,Email/SMS,,tablet,2,5,0,0,0,0.0,0.0,0.0,India,Surat,0
2022-01-05,Meta,KS_AlwaysOn,mobile,98,347,6,3,5,8092.5,0.051,1618.5,India,Hyderabad,1
2022-01-05,Meta,KS_AlwaysOn,desktop,46,126,2,0,0,0.0,0.0,0.0,India,Jaipur,0
2022-01-05,Meta,KS_AlwaysOn,tablet,8,18,0,0,1,2038.5,0.125,2038.5,India,Lucknow,1
2022-01-05,Google,,mobile,42,132,2,1,1,1826.0,0.0238,1826.0,India,Lucknow,1
2022-01-05,Google,,desktop,12,56,0,0,0,0.0,0.0,0.0,India,Mumbai,0
2022-01-05,Google,,tablet,5,14,0,0,0,0.0,0.0,0.0,India,Jaipur,0
2022-01-05,Influencer,,mobile,30,111,2,1,0,0.0,0.0,0.0,India,Jaipur,0
2022-01-05,Influencer,,desktop,18,36,0,0,0,0.0,0.0,0.0,India,Surat,0
2022-01-05,Influencer,,tablet,3,10,0,0,0,0.0,0.0,0.0,India,Ahmedabad,0
2022-01-05,Organic Instagram,,mobile,22,69,0,0,0,0.0,0.0,0.0,India,Bengaluru,0
2022-01-05,Organic Instagram,,desktop,4,12,0,0,0,0.0,0.0,0.0,India,Hyderabad,0
